,appid,windows,mac,linux
0,10,1,1,1
1,20,1,1,1
2,30,1,1,1
3,40,1,1,1
4,50,1,1,1
5,60,1,1,1
6,70,1,1,1
7,80,1,1,1
8,130,1,1,1
9,220,1,1,1
10,240,1,1,1
11,280,1,1,1
12,300,1,1,1
13,320,1,1,1
14,340,1,1,1
15,360,1,1,1
16,380,1,1,1
17,400,1,1,1
18,420,1,1,1
19,440,1,1,1
20,500,1,1,0
21,550,1,1,1
22,570,1,1,1
23,620,1,1,1
24,630,1,0,0
25,730,1,1,1
26,1002,1,0,0
27,1200,1,1,1
28,1250,1,1,1
29,1300,1,0,0
30,1500,1,1,1
31,1510,1,1,1
32,1520,1,1,1
33,1530,1,1,0
34,1600,1,0,0
35,1610,1,0,0
36,1630,1,0,0
37,1640,1,0,0
38,1670,1,0,0
39,1690,1,0,0
40,1700,1,0,0
41,1840,1,0,0
42,1900,1,1,1
43,1930,1,1,1
44,2100,1,0,0
45,2200,1,0,0
46,2210,1,0,0
47,2270,1,0,0
48,2280,1,0,0
49,2290,1,0,0
50,2300,1,0,0
51,2310,1,0,0
52,2320,1,0,0
53,2330,1,0,0
54,2340,1,0,0
55,2350,1,0,0
56,2360,1,0,0
57,2370,1,0,0
58,2390,1,0,0
59,2400,1,0,0
60,2450,1,0,0
61,2500,1,1,0
62,2520,1,0,0
63,2590,1,0,0
64,2600,1,0,0
65,2610,1,0,0
66,2620,1,0,0
67,2630,1,1,0
68,2640,1,0,0
69,2710,1,0,0
70,2720,1,0,0
71,2780,1,0,0
72,2800,1,0,0
73,2810,1,1,1
74,2820,1,1,1
75,2840,1,0,0
76,2850,1,0,0
77,2870,1,1,1
78,2900,1,0,0
79,2910,1,0,0
80,2920,1,0,0
81,2990,1,0,0
82,3010,1,0,0
83,3020,1,0,0
84,3050,1,0,0
85,3130,1,0,0
86,3170,1,1,0
87,3230,1,0,0
88,3260,1,0,0
89,3270,1,0,0
90,3330,1,1,0
91,3410,1,0,0
92,3480,1,1,0
93,3483,1,0,0
94,3490,1,0,0
95,3500,1,0,0
96,3510,1,0,0
97,3520,1,0,0
98,3530,1,0,0
99,3540,1,1,0
100,3560,1,0,0
101,3570,1,0,0
102,3580,1,0,0
103,3590,1,1,0
104,3600,1,1,0
105,3610,1,0,0
106,3620,1,0,0
107,3700,1,0,0
108,3710,1,0,0
109,3720,1,0,0
110,3730,1,0,0
111,3800,1,0,0
112,3810,1,0,0
113,3820,1,0,0
114,3830,1,1,1
115,3900,1,1,0
116,3910,1,0,0
117,3920,1,0,0
118,3960,1,0,0
119,3980,1,0,0
120,3990,1,1,0
121,4000,1,1,1
122,4100,1,0,0
123,4230,1,0,0
124,4290,1,0,0
125,4300,1,0,0
126,4420,1,0,0
127,4460,1,0,0
128,4470,1,0,0
129,4500,1,0,0
130,4520,1,0,0
131,4530,1,0,0
132,4560,1,0,0
133,4570,1,0,0
134,4580,1,0,0
135,4700,1,1,1
136,4720,1,0,0
137,4760,1,0,0
138,4770,1,0,0
139,4780,1,1,1
140,4800,1,0,0
141,4850,1,0,0
142,4870,1,0,0
143,4880,1,0,0
144,4890,1,0,0
145,4900,1,0,0
146,4920,1,0,1
147,6000,1,0,0
148,6010,1,1,0
149,6020,1,1,0
150,6030,1,1,0
151,6040,1,1,0
152,6060,1,0,0
153,6080,1,0,0
154,6090,1,0,0
155,6120,1,1,1
156,6200,1,0,0
157,6210,1,0,0
158,6220,1,0,0
159,6250,1,0,0
160,6270,1,0,0
161,6300,1,0,0
162,6310,1,0,0
163,6370,1,0,0
164,6400,1,0,0
165,6420,1,0,0
166,6510,1,0,0
167,6550,1,0,0
168,6800,1,0,0
169,6810,1,0,0
170,6830,1,0,0
171,6840,1,0,0
172,6850,1,0,0
173,6860,1,0,0
174,6870,1,0,0
175,6880,1,0,0
176,6900,1,0,0
177,6910,1,0,0
178,6920,1,0,0
179,6980,1,0,0
180,7000,1,0,0
181,7010,1,0,0
182,7020,1,0,0
183,7110,1,0,0
184,7200,1,0,0
185,7210,1,0,0
186,7220,1,0,0
187,7260,1,0,0
188,7340,1,0,0
189,7510,1,1,1
190,7520,1,1,0
191,7530,1,1,0
192,7600,1,1,0
193,7610,1,0,0
194,7620,1,0,0
195,7650,1,0,0
196,7660,1,0,0
197,7730,1,0,0
198,7760,1,0,0
199,7770,1,0,0
200,7830,1,0,0
201,7840,1,0,0
202,7860,1,0,0
203,7940,1,1,0
204,8000,1,0,0
205,8080,1,0,0
206,8100,1,0,0
207,8140,1,0,0
208,8170,1,0,0
209,8190,1,0,0
210,8310,1,0,0
211,8320,1,0,0
212,8330,1,0,0
213,8340,1,1,0
214,8400,1,0,0
215,8500,1,1,0
216,8600,1,0,0
217,8790,1,0,0
218,8800,1,1,0
219,8870,1,1,1
220,8880,1,0,0
221,8890,1,0,0
222,8930,1,1,1
223,8970,1,0,0
224,9000,1,0,0
225,9010,1,0,0
226,9030,1,0,0
227,9040,1,0,0
228,9050,1,0,0
229,9060,1,0,0
230,9160,1,0,0
231,9180,1,0,0
232,9200,1,0,0
233,9310,1,0,0
234,9340,1,0,0
235,9350,1,0,0
236,9420,1,0,0
237,9450,1,0,0
238,9460,1,0,0
239,9480,1,0,1
240,9500,1,1,0
241,9710,1,0,0
242,9760,1,0,0
243,9800,1,0,0
244,9850,1,0,0
245,9880,1,0,0
246,9900,1,0,0
247,9940,1,0,0
248,9960,1,0,0
249,9970,1,0,0
250,9980,1,0,0
251,10090,1,0,0
252,10100,1,0,0
253,10110,1,0,0
254,10120,1,0,0
255,10130,1,0,0
256,10140,1,0,0
257,10150,1,0,0
258,10180,1,1,0
259,10220,1,0,0
260,10230,1,0,0
261,10240,1,0,0
262,10250,1,0,0
263,10260,1,0,0
264,10270,1,0,0
265,10460,1,0,0
266,10500,1,1,1
267,10680,1,0,0
268,11020,1,0,0
269,11040,1,0,0
270,11050,1,0,0
271,11130,1,0,0
272,11140,1,0,0
273,11150,1,0,0
274,11190,1,0,0
275,11200,1,1,0
276,11230,1,0,0
277,11240,1,0,0
278,11250,1,0,0
279,11260,1,0,0
280,11280,1,1,0
281,11330,1,0,0
282,11340,1,0,0
283,11360,1,1,0
284,11450,1,1,1
285,11480,1,0,0
286,11560,1,0,0
287,11590,1,0,0
288,12100,1,0,0
289,12110,1,0,0
290,12120,1,0,0
291,12130,1,0,0
292,12140,1,0,0
293,12150,1,0,0
294,12170,1,0,0
295,12180,1,0,0
296,12200,1,0,0
297,12210,1,0,0
298,12220,1,0,0
299,12310,1,0,0
300,12320,1,0,0
301,12330,1,0,0
302,12340,1,0,0
303,12360,1,0,0
304,12390,1,0,0
305,12420,1,0,0
306,12430,1,0,0
307,12440,1,0,0
308,12450,1,0,0
309,12460,1,0,0
310,12470,1,0,0
311,12480,1,0,0
312,12500,1,0,0
313,12510,1,0,0
314,12520,1,0,0
315,12530,1,0,0
316,12540,1,0,0
317,12560,1,0,0
318,12590,1,0,0
319,12600,1,0,0
320,12640,1,0,0
321,12670,1,0,0
322,12710,1,1,1
323,12770,1,0,0
324,12790,1,0,0
325,12810,1,1,1
326,12830,1,0,0
327,13000,1,0,0
328,13140,1,0,0
329,13200,1,0,0
330,13210,1,0,0
331,13230,1,0,0
332,13240,1,0,0
333,13250,1,0,0
334,13500,1,0,0
335,13520,1,0,0
336,13530,1,0,0
