,appid,name,release_date,english,developer,publisher,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
0,10,Counter-Strike,2000-11-01,1,Valve,Valve,0,0,124534,3339,17612,317,10000000-20000000,7.19
1,20,Team Fortress Classic,1999-04-01,1,Valve,Valve,0,0,3318,633,277,62,5000000-10000000,3.99
2,30,Day of Defeat,2003-05-01,1,Valve,Valve,0,0,3416,398,187,34,5000000-10000000,3.99
3,40,Deathmatch Classic,2001-06-01,1,Valve,Valve,0,0,1273,267,258,184,5000000-10000000,3.99
4,50,Half-Life: Opposing Force,1999-11-01,1,Gearbox Software,Valve,0,0,5250,288,624,415,5000000-10000000,3.99
5,60,Ricochet,2000-11-01,1,Valve,Valve,0,0,2758,684,175,10,5000000-10000000,3.99
6,70,Half-Life,1998-11-08,1,Valve,Valve,0,0,27755,1100,1300,83,5000000-10000000,7.19
7,80,Counter-Strike: Condition Zero,2004-03-01,1,Valve,Valve,0,0,12120,1439,427,43,10000000-20000000,7.19
8,130,Half-Life: Blue Shift,2001-06-01,1,Gearbox Software,Valve,0,0,3822,420,361,205,5000000-10000000,3.99
9,220,Half-Life 2,2004-11-16,1,Valve,Valve,0,33,67902,2419,691,402,10000000-20000000,7.19
10,240,Counter-Strike: Source,2004-11-01,1,Valve,Valve,0,147,76640,3497,6842,400,10000000-20000000,7.19
11,280,Half-Life: Source,2004-06-01,1,Valve,Valve,0,0,3767,1053,190,214,2000000-5000000,0.0
12,300,Day of Defeat: Source,2010-07-12,1,Valve,Valve,0,54,10489,1210,1356,134,5000000-10000000,7.19
13,320,Half-Life 2: Deathmatch,2004-11-01,1,Valve,Valve,0,0,6020,787,311,32,10000000-20000000,3.99
14,340,Half-Life 2: Lost Coast,2005-10-27,1,Valve,Valve,0,0,5783,1020,46,29,10000000-20000000,0.0
15,360,Half-Life Deathmatch: Source,2006-05-01,1,Valve,Valve,0,0,1362,473,102,81,5000000-10000000,0.0
16,380,Half-Life 2: Episode One,2006-06-01,1,Valve,Valve,0,13,7908,517,281,184,5000000-10000000,5.79
17,400,Portal,2007-10-10,1,Valve,Valve,0,15,51801,1080,288,137,10000000-20000000,7.19
18,420,Half-Life 2: Episode Two,2007-10-10,1,Valve,Valve,0,22,13902,696,354,301,5000000-10000000,5.79
19,440,Team Fortress 2,2007-10-10,1,Valve,Valve,0,520,515879,34036,8495,623,20000000-50000000,0.0
20,500,Left 4 Dead,2008-11-17,1,Valve,Valve,0,73,17951,948,897,278,5000000-10000000,7.19
21,550,Left 4 Dead 2,2009-11-19,1,Valve,Valve,0,70,251789,8418,1615,566,10000000-20000000,7.19
22,570,Dota 2,2013-07-09,1,Valve,Valve,0,0,863507,142079,23944,801,100000000-200000000,0.0
23,620,Portal 2,2011-04-18,1,Valve,Valve,0,51,138220,1891,1102,520,10000000-20000000,7.19
24,630,Alien Swarm,2010-07-19,1,Valve,Valve,0,66,17435,941,371,83,2000000-5000000,0.0
25,730,Counter-Strike: Global Offensive,2012-08-21,1,Valve;Hidden Path Entertainment,Valve,0,167,2644404,402313,22494,6502,50000000-100000000,0.0
26,1002,Rag Doll Kung Fu,2005-10-12,1,Mark Healey,Mark Healey,0,0,40,17,0,0,20000-50000,5.99
27,1200,Red Orchestra: Ostfront 41-45,2006-03-14,1,Tripwire Interactive,Tripwire Interactive,0,44,1562,223,232,258,500000-1000000,3.99
28,1250,Killing Floor,2009-05-14,1,Tripwire Interactive,Tripwire Interactive,0,285,53710,2649,1328,306,2000000-5000000,14.99
